,comments,sentiment
0,famous fly debate,1
1,trump 2020,0
2,climate gotten better becouse virus administration mike,0
3,wow vice president listening susan sad,1
4,senator harris hot,1
5,2020 look like end world must dreaming sleeping time wake people time choose good evil armageddon coming choose jesus christ son god son man king kings lord lords light truth eternal life choose satan son lawlessness devil dragon serpent deceiver death choose carefully choose wisely choose,1
6,barrywhite rainbow nexpo bangbang borderlands3,0
7,isnt interesting right says systematic racism presumption fly land head two minutes ironic sign god,1
8,maga 2020 im toe biden eye inducked comicals arrogant racism joe biden youre black dont vote joe biden link httpsyoutubewbxcgitxwnw,0
9,continuation brainwashing campaign bias network andor mob political leaning touch reality destroying america unmindful ignorance future america becoming socialistmarxist domination favoring comminism,0
10,president trump thank much defintion biden communist back stabber murderer born unborn pathetic plagarist pervert phoney liar puppet antichrist advocate desecrating churches anarchists proud promoter riots violence injustice policemen killing predator baby girls little girls teen girls woman nearby traitor low life loser embarrassment yet says moral obligation gasp,0
11,shes marxist depending joe die,0
12,history remember america destroyed mobsters herd mentality pushed incompetent bully boasts grabbing bio power,0
13,httpsyoutubejno8m0cpncs,0
14,guys calm trumpets getting mad,1
15,hes right act god got corona virus im sure realizes means says,1
16,kamal man wtf,1
17,debate standard didnt cross line dignity essence political debates democratic physicpattern respectable dignified personality usaall honor,0
18,hole caused china wacko jobs went door china covid19 president trump youre wacko,0
19,hary plan wont change weather wacko,0
20,1929 category 5 happened climate change happen hundreds years good bad dont environmental wacko wont vote environmental wackos,1
21,shes liar time harris shes always interrupting says nothing harris susan chick fired vote trump get rid idiots theyre mad cuz hes real president real commander chief,1
22,said harris going talk whole time cuz aint shut,0
23,kamalas lincoln story boldfaced lie httpswwwsnopescomfactlincoln1864supremecourt,0
24,trump pence 2020,0
25,ignore polls trolls vote big rig vote country party vote save democracy america biden harris 2020,0
26,look pences face senator harris discusses mother selected biden democratic ticket fuming rolling eyes,0
27,pence goes tangent answers whatever question wants answer wtf,1
28,arrogant pence keeps going susan page calls time like thinks hes law oh forgot hes republican speaks several minutes susan says thank vice president,0
29,mike pence best distiller truth country hes bigot pathological liar hes head coronavirus task force joke dude demon wrapped evangelical robe,0
30,senator harris hands one best prosecutors country,0
