,comments,sentiment
0,dude joe bidens mouth looks suspiciously deep faked,0
1,funny way president praises unfounded claims everything phenomenal everything people doesnt like agree disaster unbridled idiocy amusing nonetheless,1
2,orange faced man utterly utterly clueless climate change idea hes talking waffles embarrassing,1
3,biden new president united states 2021 2025 congratulations biden,0
4,biden new president united states 2021 2025 congratulations biden,0
5,biden new president united states 2021 2025 congratulations biden,0
6,biden new president united states 2021 2025 congratulations biden,0
7,trump biggest joke planet supporters,0
8,respect elders hard time wanting decrepit saint grandpa navigate im driving dont know joe leading us,1
9,watching keep calling lying joe vice president like lifelong title something sorry im europe,1
10,httpwwwyoutubecomshortsaepgi_w6kx8,0
11,need black women running country,0
12,donald would quiet minute hahahahahaha trump 2020,0
13,american people biden,0
14,chris wallas fit conduct debate,0
15,trump using doping debate,0
16,trump using doping debate,0
17,dont take biometric vaccine covid19 healthy,0
18,stop blaming president trump covid19 actually democrats fault,0
19,okay listen people carefully listen people died anything besides covid tested covid19 died covid say died covid even though died like cancer heart attack drowning dehydration starvation,1
20,obamacare rich everybody else get welfare medical coverage,0
21,obamacare sucked way expensive,1
22,joe liar hes filthy dirty disgusting liar nothing vomit comes mouth,1
23,seriously like democrats care american people cared people wouldnt murdering babies womb,0
24,already voted donald trump arizona arizona,0
25,guy couldnt president local nursing home,0
26,joe rogan,0
27,moderatorul asta il opreste doar pe presedinte cand vorbeste foarte bine,0
28,dont understand mr biden claim good faithful catholic denies much church teaching especially absolute child abuse human rights violations innocent yet born,0
29,come one talking best part debate trump signed crime bill 1994 put thousands black men jail biden true moderator brings next question biden many crime bills signed 80s 90s responsible incarceration many black men,0
30,make chairs sitting,0
31,biden deporto mas latinos que trump joe biden tax plan california 626 new jersey60 new york58 new york city62 imagine state much hes going take away pocketstrickle economics taxes biden wins rich people going move hide money poor people going stuck paying end candence owens,0
32,hope moderator gets paid well,0
33,1st mistake httpsyoutubeyw8nia33zyt262 iiah american people 2 httpsyoutubeyw8nia33zyt327 fine person 3 ither biden httpsyoutubeyw8nia33zyt372 biden interrupts fist time sudden open free discussion httpsyoutubeyw8nia33zyt414 5 biden democratic party httpsyoutubeyw8nia33zyt466 20 200 200 million get picture,0
34,cant entertaining,1
35,barack obama,0
36,trump,0
37,moderator interrupting constantly,0
38,trump easily dominated debate good points literally dominated biden letting speak,1
39,president trump favourite us president asian countries,0
40,gon na sit hour watch entertaiment bet,0
41,brazil brazilian say strongly affected everything brazilian ask please consider voting biden im looking joke like lot research pantanal disaster please florests burning animals dying hunger guys joke rome 21st century everything affect neighborhood neighbor want yoour friend thats going happen two lunatics running govern found guy dont let scape im praying well find,0
42,,0
43,reading notes mr biden trump goes full headed,1
44,chris wallace worst moderator seems b like 6 year old kid obviously going towards leftwell media makes since interrupting trump 10 times biden,1
45,painfuljust,0
46,uncle biden type uncle go number 1 number 3 point,0
47,trump wright clever speaks smart bodys language,1
48,guns thats literally time makes sense use bro,0
49,childhood always thought usa greatest cojntry world would underexagerated say wrong,1
50,trump card 2020 santtrumpcard2020blogspotcom loro stati di salute sapprocher trop rispettivi prevenirli per avvicinarsi troppo sant movies asokokpl,0
51,imagine george washington watching,0
52,even american find hilarious,0
53,larry king better job,0
54,going history someday imma leave trace,0
55,joe bidens 47 years accomplishments good read joe bidens political career year please check 1973 biden enters politics 1974 1975 1976 1977 biden fights keep schools segregated words allowing blacks integrate would create racial jungle fact check 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 ran president end campaign getting busted plagiarism 1989 1990 hang almost 1991 1992 1993 1994 biden writes stop frisk law blacks blame systemic racism today law took millions black men homes transplanted prison way go joe bidens biggest accomplishment 47 years elected office factcheck meits true 1995 1996 1997 almost yet 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 calls obama articulate clean person 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 hes ready fix country,0
56,voting biden would serious mistake 77 essentially voting kamala harris president democrats win democrats destroy great american companies tech space,0
57,u see wallace terriblefox news fake news,1
58,children children choose school president calm,1
59,vote trump ur gay,1
60,1362 1366 favorite partm cute true h best president time love trump,1
61,agree get rid individual mandate individual get rid trump,0
62,1fbi child porn lawyer invole hunter baiden lap top case httpswwwyoutubecomwatchvphpkflkdprw 2covid19 made ccp americas voice httpswwwyoutubecomwatchvhxgyugpzxzg 3dr yan limeng published covid19 paper escaping hong kong httpszenodoorgrecord4028830x2eviohs9_s 4indian research covid paper virus manmade httpswwwbiorxivorgcontent10110120200130927871v1 5norwegian virologists pointed spike protein virus artificial httpspptccfyjpzx,1
63,would elect donald trump legendry joe biden,1
64,joe biden made lot sense points obvious realistic facts,0
65,america best country single nonamerican ever,0
66,,0
67,hear mr vice president knowledge biden vice president hmmmmm journalist living past,0
68,debate,0
69,obama sitting chair rn laughing debate,0
70,wow actually went better l heard read seen news etc l held good points bad ones bad behavior parties involved debate l expect thats watch,1
71,something special republican must hold see wait see bring another 4 years,1
72,turn one candidates mic speaking uninterrupted 2 minutes part,0
73,russian wish putin debates simply,0
74,joe biden said son loser sucker patriot service medals wont allow also denegrate soldiers killed action heros stood son soldiers killed absolutely amazing said son loser patriot pulled heart strings,0
75,said stupid people dont take advantage tax codes bet campaign staff almost choked ever eating said,1
76,talia friday time need walter time get work,0
77,health care plan donald trump wrote slowly would understand donald plan donald hurry im getting younger please life short come,0
78,think trump bad watch pelosi interview gets heated cnn could fake gona talk since couldnt talk alll,1
79,realized biden holding cigarette,0
80,lol america,1
81,normal non candidates says anything concepts debate tell guy wrong thats hilarius,1
82,trump vs biden hoe kagke debate biden liek orenj httpsyoutubeslwh2ueu16o,0
83,anyone else noticed biden actually talking people trump keeps repeating things keeps interrupting america watching debate think get pretty good idea kind person trump like cant even let someone finish dont like saying,1
84,whos watching waiting erbs new video release,0
85,trump use word smart,1
86,achieved comedy,0
87,sleepy joe biden nothing black african american 8 years vice president obama listen vernon jones democratic state representative georgia speaks hes voting president donald trump httpswwwyoutubecomwatchvh4lqedt12l0,0
88,biden2020 im even american hope wins alot family members live want safe,0
89,vote joe biden,0
90,goooo trump,0
91,deal joe donald trump win 2020 landslide dont worry youll go back home soon enough,0
92,wildest wishes joe never become president go back basements expensive houses eat bribe money payments enemy nations like chinas communist government qualified morally otherwise president never either,0
93,come man many lies tell joe,0
94,keep lying repeating memorized lines keep lying keep thinking people stupid like,1
95,lying joe biden clue saying lies everything else opens mouth would done wallace help keep shutting president let rant,0
96,love president trump,1
97,love mr ptrsident,1
98,trump still president america think americans great trouble,0
99,bronze race wont know red life blue bin life signal clone parasites false opp arent going,0
100,min 2122,0
101,sorry biden slow trump win,1
102,holy fuck shit absurd,1
